year_month,year,month,high_exposure,post_treatment,num_repos,num_prs,avg_lead_time_hours,median_lead_time_hours,std_lead_time_hours,avg_commits_per_pr,avg_review_comments,avg_code_churn,avg_changed_files,avg_additions,avg_deletions,date
2019-08,2019,8,True,False,1,1,0.0,0,,3.0,0.0,509.0,47.0,317.0,192.0,2019-08-01
2019-09,2019,9,True,False,4,4,0.0,0,0.0,1.75,0.0,7.25,1.75,4.5,2.75,2019-09-01
2019-10,2019,10,True,False,1,1,0.0,0,,1.0,0.0,7.0,2.0,5.0,2.0,2019-10-01
2019-11,2019,11,True,False,1,1,0.0,0,,1.0,0.0,8.0,2.0,4.0,4.0,2019-11-01
2019-12,2019,12,True,False,1,1,0.0,0,,1.0,0.0,74.0,2.0,59.0,15.0,2019-12-01
2020-03,2020,3,True,False,1,1,168.0,168,,99.0,0.0,4550.0,104.0,3541.0,1009.0,2020-03-01
2020-05,2020,5,True,False,6,6,0.0,0,0.0,2.0,0.0,426.1666666666667,42.66666666666666,199.16666666666666,227.0,2020-05-01
2020-10,2020,10,True,False,1,1,0.0,0,,1.0,0.0,191.0,12.0,126.0,65.0,2020-10-01
2020-11,2020,11,True,False,5,5,0.8,0,1.788854381999832,4.4,0.0,161.8,6.8,98.8,63.0,2020-11-01
2020-12,2020,12,False,False,141,286,365.0734265734267,377,203.50420882790982,7.164335664335661,3.3916083916083912,870.9545454545452,11.912587412587408,572.9160839160835,298.03846153846115,2020-12-01
2020-12,2020,12,True,False,13395,28374,355.7305631916542,347,199.54303690479804,6.052971029816017,2.5352435328117293,774.637625995629,9.82378233594134,498.6985620638606,275.9390639317686,2020-12-01
2021-01,2021,1,False,False,545,4230,51.19905437352241,3,110.65584317729541,5.016075650118205,1.3014184397163133,1156.2508274231686,15.831442080378238,767.1193853427895,389.1314420803782,2021-01-01
2021-01,2021,1,True,False,69853,788143,26.428871410391277,0,80.7775980987435,3.930785403156533,0.5043805502300982,672.3422234289969,10.469850014527811,432.2465681989191,240.0956552300784,2021-01-01
2021-02,2021,2,False,False,630,4381,46.31545309290116,3,103.25317561627845,6.400365213421592,1.0463364528646428,938.43711481397,17.801415202008673,596.4088107737955,342.02830404017357,2021-02-01
2021-02,2021,2,True,False,74825,824573,25.81948960249728,0,77.68998761072287,3.7305102155903715,0.5161604854876406,726.4122739890826,10.32580256690433,466.81642983701823,259.5958441520643,2021-02-01
2021-03,2021,3,False,False,632,5047,48.23102833366359,3,112.96138805991325,4.752328115712307,1.1543491182880925,877.8632851198729,15.654051912026944,536.4228254408551,341.4404596790178,2021-03-01
2021-03,2021,3,True,False,85724,887098,30.88835055427923,1,88.29781991667356,3.8838177969063175,0.5261583274903106,801.6776196091085,11.678149426557153,511.6759952113521,290.00162439775545,2021-03-01
2021-04,2021,4,False,False,649,4788,51.477861319966564,4,109.12654206784416,5.213659147869678,1.194444444444446,772.7577276524648,10.556808688387628,487.4047619047618,285.35296574770246,2021-04-01
2021-04,2021,4,True,False,88030,920190,26.653282474271606,0,79.89637097156894,3.938127995305314,0.47491061628576653,771.1137917169286,9.148071593909945,492.87805453221694,278.2357371847117,2021-04-01
2021-05,2021,5,False,False,612,3951,57.783092887876464,4,120.44295788443007,4.409769678562384,1.3649708934446974,700.994431789421,9.987091875474569,455.9635535307513,245.03087825866885,2021-05-01
